DeviceTag: Xsens DOT13,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 1,StartTime: 2026-05-07 16:06:53.931,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
11202860,0.0051,0.0067,0.0044,0.6571,0.0058,-0.0072,0.7538,-0.1867,-1.0459,97.8409,-0.0192,-0.0465,-0.2961
11203027,-0.3325,-0.4075,-0.2639,0.6575,0.0057,-0.0069,0.7534,-0.1685,-1.0121,97.7836,-0.0212,-0.0355,-0.3220
11203194,-0.2907,-0.4588,-0.3630,0.6576,0.0056,-0.0065,0.7534,-0.1383,-0.9731,97.7700,-0.0147,0.0051,-0.3076
11203360,-0.2813,-0.3612,-0.2943,0.6580,0.0057,-0.0063,0.7530,-0.1170,-0.9652,97.7076,0.0270,0.0167,-0.2990
11203527,-0.3468,-0.4104,-0.3197,0.6580,0.0057,-0.0064,0.7529,-0.1273,-0.9730,97.6952,0.0032,0.0093,-0.2986
11203694,-0.3365,-0.4468,-0.3979,0.6580,0.0057,-0.0066,0.7529,-0.1368,-0.9844,97.6991,-0.0186,-0.0083,-0.3055
11203860,-0.2939,-0.4210,-0.2537,0.6580,0.0057,-0.0066,0.7530,-0.1382,-0.9918,97.7059,-0.0189,-0.0342,-0.2887
11204027,-0.3730,-0.4857,-0.3037,0.6579,0.0057,-0.0066,0.7531,-0.1374,-0.9935,97.7177,-0.0143,-0.0229,-0.3024
11204194,-0.3350,-0.4629,-0.3734,0.6579,0.0058,-0.0066,0.7531,-0.1358,-0.9939,97.7171,0.0304,-0.0006,-0.3040
11204360,-0.2989,-0.3267,-0.3411,0.6580,0.0057,-0.0066,0.7529,-0.1401,-0.9941,97.6948,0.0007,-0.0018,-0.2819
11204527,-0.3177,-0.3281,-0.3542,0.6580,0.0057,-0.0067,0.7530,-0.1449,-0.9959,97.7030,-0.0104,-0.0011,-0.2829
